,datadate,tic,prccd,ajexdi,prcod,prchd,prcld,cshtrd
0,20010328,شیران-ت,28.0,1,28.0,28.0,28.0,2103
1,20010407,شیران-ت,28.0,1,28.0,28.0,28.0,740
2,20010408,شیران-ت,28.0,1,28.0,28.0,28.0,4600
3,20010410,شیران-ت,28.0,1,28.0,28.0,28.0,2100
4,20010411,شیران-ت,28.0,1,28.0,28.0,28.0,10300
5,20010415,شیران-ت,28.0,1,28.0,28.0,28.0,1463
6,20010416,شیران-ت,28.0,1,28.0,28.0,28.0,2600
7,20010417,شیران-ت,28.0,1,28.0,28.0,28.0,400
8,20010422,شیران-ت,28.0,1,28.0,28.0,28.0,350
9,20010423,شیران-ت,29.0,1,29.0,29.0,29.0,800
10,20010501,شیران-ت,29.0,1,29.0,29.0,29.0,1000
11,20010513,شیران-ت,29.0,1,29.0,29.0,29.0,943
12,20010530,شیران-ت,30.0,1,30.0,30.0,30.0,1100
13,20010704,شیران-ت,31.0,1,31.0,31.0,31.0,2800
14,20010707,شیران-ت,33.0,1,33.0,33.0,33.0,26538
15,20010708,شیران-ت,34.0,1,34.0,34.0,34.0,4312
16,20010812,شیران-ت,37.0,1,33.0,37.0,33.0,7288
17,20010813,شیران-ت,37.0,1,37.0,37.0,37.0,6200
18,20010814,شیران-ت,38.0,1,38.0,38.0,38.0,44200
19,20010815,شیران-ت,39.0,1,39.0,39.0,38.0,11815
20,20010819,شیران-ت,40.0,1,40.0,40.0,40.0,1400
21,20010820,شیران-ت,40.0,1,40.0,40.0,40.0,3000
22,20010827,شیران-ت,40.0,1,40.0,40.0,40.0,920
23,20010828,شیران-ت,41.0,1,41.0,41.0,40.0,2010
24,20010829,شیران-ت,41.0,1,41.0,41.0,41.0,3753
25,20010901,شیران-ت,41.0,1,41.0,41.0,41.0,2000
26,20010902,شیران-ت,41.0,1,41.0,41.0,41.0,8099
27,20010903,شیران-ت,41.0,1,40.0,41.0,40.0,4140
28,20010904,شیران-ت,41.0,1,41.0,41.0,41.0,650
29,20010905,شیران-ت,41.0,1,41.0,41.0,41.0,2435
30,20010908,شیران-ت,42.0,1,42.0,42.0,42.0,26119
31,20010910,شیران-ت,42.0,1,42.0,42.0,42.0,20800
32,20010911,شیران-ت,43.0,1,43.0,43.0,42.0,11600
33,20010912,شیران-ت,43.0,1,43.0,43.0,43.0,25140
34,20010915,شیران-ت,43.0,1,43.0,43.0,43.0,300
35,20010918,شیران-ت,43.0,1,43.0,43.0,43.0,9545
