date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-07-01,396.0,446.0,363.0,414.0,34363046470,27421991,5160,330.0,446.0
2012-07-02,434.0,434.0,396.0,426.0,11110947250,8620150,329,414.0,396.0
2012-07-07,412.0,464.0,346.0,447.0,184703000,137000,18,426.0,464.0
2012-07-08,447.0,550.0,419.0,453.0,2711762000,2055020,217,447.0,454.0
2012-07-09,439.0,453.0,439.0,443.0,1955029800,1516000,17,453.0,440.0
2012-07-10,443.0,465.0,443.0,450.0,1354405090,1033450,211,443.0,447.0
2012-07-11,450.0,460.0,446.0,448.0,15387684000,11806400,4726,450.0,447.0
2012-07-14,460.0,466.0,460.0,463.0,654330000,485000,93,448.0,464.0
2012-07-15,450.0,486.0,450.0,462.0,7494167741,5565781,2342,463.0,486.0
2012-07-16,485.0,485.0,464.0,477.0,708230000,510000,65,462.0,485.0
2012-07-17,501.0,501.0,501.0,501.0,267834600,183700,32,477.0,501.0
2012-07-18,526.0,526.0,524.0,526.0,2110950000,1380000,161,501.0,526.0
2012-07-22,549.0,549.0,500.0,528.0,4749306780,3087710,16,526.0,500.0
2012-07-23,502.0,520.0,502.0,504.0,523581000,356998,58,528.0,502.0
2012-07-24,479.0,479.0,479.0,479.0,414157400,297100,38,504.0,479.0
2012-07-25,458.0,493.0,455.0,471.0,308608000,225000,50,479.0,471.0
2012-07-28,481.0,488.0,481.0,487.0,16740000,11800,3,471.0,488.0
2012-07-29,498.0,498.0,463.0,472.0,27480000,20000,7,487.0,463.0
2012-07-30,481.0,481.0,481.0,481.0,5735900,4100,3,472.0,481.0
2012-07-31,490.0,490.0,457.0,459.0,28031000,21000,6,481.0,457.0
2012-08-01,476.0,476.0,476.0,476.0,1387000,1000,1,459.0,476.0
2012-08-05,453.0,453.0,453.0,453.0,65900000,50000,15,476.0,453.0
2012-08-06,430.0,430.0,430.0,430.0,63903000,51000,12,453.0,430.0
2012-08-07,426.0,447.0,426.0,428.0,127422600,102200,21,430.0,447.0
2012-08-11,446.0,447.0,446.0,447.0,190965000,146900,20,428.0,447.0
2012-08-12,459.0,469.0,459.0,469.0,2126316265,1559291,369,447.0,469.0
2012-08-14,471.0,471.0,471.0,471.0,137000000,100000,46,469.0,471.0
2012-08-21,470.0,470.0,469.0,470.0,11459142000,8384000,3,471.0,469.0
2012-08-22,466.0,470.0,466.0,469.0,17002491604,12451938,62,470.0,469.0
