date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-05-31,133.0,133.0,132.0,132.0,17350866825,2408030,260,133.0,132.0
2003-06-07,139.0,139.0,139.0,139.0,15120000,2000,1,132.0,139.0
2003-06-08,146.0,146.0,138.0,138.0,853651426,109604,37,139.0,138.0
2003-06-09,135.0,135.0,135.0,135.0,149388750,20325,13,138.0,135.0
2003-06-10,134.0,135.0,134.0,135.0,140440079,19137,19,135.0,135.0
2003-06-11,135.0,135.0,132.0,135.0,1069094250,146655,83,135.0,135.0
2003-06-14,134.0,134.0,133.0,133.0,429166900,58903,94,135.0,133.0
2003-06-15,133.0,134.0,133.0,134.0,1084125464,149627,39,133.0,134.0
2003-06-16,133.0,133.0,132.0,132.0,246050000,34000,43,134.0,132.0
2003-06-17,132.0,134.0,132.0,132.0,349327395,47980,67,132.0,132.0
2003-06-18,132.0,132.0,132.0,132.0,421197679,58500,147,132.0,132.0
2003-06-21,132.0,132.0,132.0,132.0,215950000,30000,6,132.0,132.0
2003-06-22,132.0,132.0,131.0,131.0,84039317,11759,6,132.0,131.0
2003-06-23,129.0,129.0,127.0,127.0,69750000,10000,2,131.0,127.0
2003-06-24,127.0,127.0,127.0,127.0,1787100,259,1,127.0,127.0
2003-06-25,121.0,127.0,121.0,127.0,12130400,1794,2,127.0,127.0
2003-06-28,127.0,132.0,124.0,132.0,285328647,40609,23,127.0,132.0
2003-06-29,133.0,133.0,133.0,133.0,43976150,6070,5,132.0,133.0
2003-07-02,133.0,133.0,133.0,133.0,90051725,12445,9,133.0,133.0
2003-07-05,132.0,132.0,132.0,132.0,57780000,8025,5,133.0,132.0
2003-07-06,133.0,135.0,132.0,135.0,568105900,77863,29,132.0,135.0
2003-07-07,137.0,137.0,135.0,135.0,82820000,11200,6,135.0,135.0
2003-07-08,135.0,135.0,135.0,135.0,56323050,7663,18,135.0,135.0
2003-08-09,132.0,132.0,132.0,132.0,7200000,1000,1,135.0,132.0
2003-08-10,132.0,132.0,132.0,132.0,114957360,15970,24,132.0,132.0
2003-08-11,132.0,132.0,132.0,132.0,154872000,21510,11,132.0,132.0
2003-08-12,132.0,132.0,132.0,132.0,194083200,26956,11,132.0,132.0
2003-08-13,132.0,132.0,132.0,132.0,19440000,2700,1,132.0,132.0
2003-08-17,132.0,132.0,132.0,132.0,31312800,4349,2,132.0,132.0
