date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-07-02,836.0,837.0,836.0,837.0,8549250,1675,3,836.0,837.0
2001-07-04,852.0,852.0,841.0,852.0,41669000,8020,10,837.0,852.0
2001-07-07,851.0,860.0,851.0,860.0,14801500,2834,6,852.0,860.0
2001-07-08,860.0,865.0,860.0,865.0,17517290,3323,8,860.0,865.0
2001-07-09,865.0,885.0,865.0,885.0,37204950,7025,9,865.0,885.0
2001-08-08,664.0,698.0,664.0,698.0,11718000,2800,2,885.0,698.0
2001-08-12,733.0,733.0,733.0,733.0,3891510,870,5,698.0,733.0
2001-08-13,770.0,770.0,770.0,770.0,4696000,1000,1,733.0,770.0
2001-08-15,808.0,808.0,770.0,770.0,5916370,1210,2,770.0,770.0
2001-08-18,770.0,770.0,770.0,770.0,9394000,2000,2,770.0,770.0
2001-08-19,772.0,772.0,772.0,772.0,2119500,450,1,770.0,772.0
2001-08-20,810.0,810.0,810.0,810.0,5701585,1153,6,772.0,810.0
2001-08-22,831.0,831.0,831.0,831.0,5321400,1050,2,810.0,831.0
2001-08-25,833.0,833.0,831.0,831.0,14442760,2847,6,831.0,831.0
2001-08-26,831.0,831.0,831.0,831.0,30420000,6000,9,831.0,831.0
2001-08-27,819.0,819.0,819.0,819.0,10000000,2000,4,831.0,819.0
2001-08-28,819.0,819.0,819.0,819.0,4750000,950,2,819.0,819.0
2001-08-29,819.0,819.0,819.0,819.0,13385000,2677,3,819.0,819.0
2001-09-01,819.0,819.0,819.0,819.0,9205000,1841,3,819.0,819.0
2001-09-02,819.0,819.0,819.0,819.0,2250000,450,1,819.0,819.0
2001-09-03,820.0,820.0,820.0,820.0,5001000,1000,1,819.0,820.0
2001-09-04,819.0,819.0,819.0,819.0,10075000,2015,2,820.0,819.0
2001-09-08,819.0,819.0,819.0,819.0,2295000,459,1,819.0,819.0
2001-09-09,819.0,820.0,819.0,820.0,13455900,2691,5,819.0,820.0
2001-09-11,820.0,820.0,820.0,820.0,8553420,1710,1,820.0,820.0
2001-09-16,820.0,820.0,820.0,820.0,7743096,1548,4,820.0,820.0
2001-09-17,820.0,820.0,820.0,820.0,11939774,2387,4,820.0,820.0
2001-09-18,820.0,820.0,820.0,820.0,14230690,2845,2,820.0,820.0
2001-09-24,820.0,820.0,820.0,820.0,17241894,3447,4,820.0,820.0
2001-09-25,820.0,820.0,820.0,820.0,10662632,2132,3,820.0,820.0
2001-09-26,820.0,820.0,820.0,820.0,1575630,315,1,820.0,820.0
2001-10-08,819.0,819.0,819.0,819.0,12500000,2500,2,820.0,819.0
2001-10-09,819.0,819.0,819.0,819.0,25000000,5000,3,819.0,819.0
2001-10-10,819.0,819.0,819.0,819.0,15000000,3000,1,819.0,819.0
2001-10-16,821.0,821.0,821.0,821.0,25055000,5000,2,819.0,821.0
2001-10-21,823.0,823.0,823.0,823.0,2661130,530,1,821.0,823.0
2001-10-24,827.0,827.0,827.0,827.0,453960,90,1,823.0,827.0
2001-10-28,829.0,829.0,829.0,829.0,5359360,1060,2,827.0,829.0
2001-11-06,852.0,852.0,852.0,852.0,10400000,2000,10,829.0,852.0
2001-11-10,852.0,852.0,852.0,852.0,19395470,3730,8,852.0,852.0
