date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-26,20.0,20.0,20.0,20.0,3420264,664,6,0.0,20.0
2001-03-27,20.0,20.0,20.0,20.0,51510000,10000,6,20.0,20.0
2001-03-28,20.0,20.0,20.0,20.0,2857658478,554778,17,20.0,20.0
2001-03-31,20.0,20.0,20.0,20.0,1112616,216,1,20.0,20.0
2001-04-03,20.0,20.0,20.0,20.0,391476,76,2,20.0,20.0
2001-04-07,20.0,20.0,20.0,20.0,8497361,1625,3,20.0,20.0
2001-04-08,20.0,20.0,20.0,20.0,8025000,1500,1,20.0,20.0
2001-04-09,21.0,21.0,21.0,21.0,10840000,2000,1,20.0,21.0
2001-04-10,21.0,22.0,21.0,21.0,5162448488,909388,15,21.0,21.0
2001-04-15,21.0,21.0,21.0,21.0,14016120,2586,8,21.0,21.0
2001-04-16,21.0,21.0,21.0,21.0,1935597,357,3,21.0,21.0
2001-04-18,21.0,21.0,21.0,21.0,1209106,223,1,21.0,21.0
2001-04-21,21.0,21.0,21.0,21.0,5816554,1072,4,21.0,21.0
2001-04-22,21.0,21.0,21.0,21.0,12625278,2325,5,21.0,21.0
2001-04-23,21.0,21.0,21.0,21.0,4096904,754,4,21.0,21.0
2001-04-24,21.0,21.0,21.0,21.0,989352,182,2,21.0,21.0
2001-04-28,21.0,21.0,21.0,21.0,13816239,2542,10,21.0,21.0
2001-04-29,21.0,21.0,21.0,21.0,1185484,218,2,21.0,21.0
2001-04-30,21.0,21.0,21.0,21.0,8842188,1626,5,21.0,21.0
2001-05-01,21.0,21.0,21.0,21.0,17685549,3253,6,21.0,21.0
2001-05-02,21.0,21.0,21.0,21.0,1223550,225,1,21.0,21.0
2001-05-05,21.0,21.0,21.0,21.0,27209000,5000,5,21.0,21.0
2001-05-06,21.0,21.0,21.0,21.0,10845204,1992,5,21.0,21.0
2001-05-07,21.0,21.0,21.0,21.0,3507224,644,2,21.0,21.0
2001-05-08,21.0,21.0,21.0,21.0,16477730,3025,2,21.0,21.0
2001-05-09,21.0,21.0,21.0,21.0,8170500,1500,1,21.0,21.0
2001-05-12,21.0,21.0,21.0,21.0,3029227,557,3,21.0,21.0
2001-05-13,21.0,21.0,21.0,21.0,13160616,2421,9,21.0,21.0
2001-05-15,21.0,21.0,21.0,21.0,548834,101,1,21.0,21.0
2001-05-20,21.0,21.0,21.0,21.0,872459,161,3,21.0,21.0
2001-05-21,21.0,21.0,21.0,21.0,7009835,1295,3,21.0,21.0
2001-05-23,21.0,21.0,21.0,21.0,66339820,12190,23,21.0,21.0
2001-05-26,21.0,21.0,21.0,21.0,3844530,705,4,21.0,21.0
2001-05-27,21.0,22.0,21.0,21.0,61306336,10728,10,21.0,21.0
2001-05-28,21.0,22.0,21.0,22.0,25997240,4662,10,21.0,22.0
2001-05-29,22.0,22.0,22.0,22.0,51075582,8959,10,22.0,22.0
2001-05-30,22.0,22.0,22.0,22.0,37877000,6500,9,22.0,22.0
2001-06-02,22.0,23.0,22.0,23.0,22764968,3832,5,22.0,23.0
2001-06-03,23.0,23.0,23.0,23.0,2989500,500,2,23.0,23.0
2001-06-16,23.0,23.0,23.0,23.0,60013694,10049,17,23.0,23.0
2001-06-17,23.0,23.0,23.0,23.0,1188200,200,1,23.0,23.0
2001-06-18,23.0,23.0,23.0,23.0,3386030,571,1,23.0,23.0
2001-06-19,22.0,22.0,22.0,22.0,7404240,1256,3,23.0,22.0
2001-06-26,22.0,22.0,22.0,22.0,327545991,56316,27,22.0,22.0
2001-06-27,22.0,22.0,22.0,22.0,25714085,4445,8,22.0,22.0
2001-06-30,22.0,22.0,22.0,22.0,8464770,1465,7,22.0,22.0
2001-07-09,21.0,21.0,21.0,21.0,5995080,1092,2,22.0,21.0
2001-07-10,21.0,21.0,20.0,20.0,13612800,2572,2,21.0,20.0
2001-07-14,19.0,19.0,19.0,19.0,16079253,3218,9,20.0,19.0
2001-07-15,19.0,19.0,19.0,19.0,3789464,753,4,19.0,19.0
2001-07-16,19.0,19.0,19.0,19.0,13849819,2776,5,19.0,19.0
2001-08-28,15.0,16.0,15.0,16.0,13069800,3191,4,19.0,16.0
2001-08-29,16.0,16.0,16.0,16.0,1916494580,466304,6,16.0,16.0
2001-09-01,16.0,16.0,16.0,16.0,68576600,16726,8,16.0,16.0
2001-09-02,16.0,16.0,16.0,16.0,8400900,2049,6,16.0,16.0
2001-09-03,16.0,16.0,16.0,16.0,6359260,1551,6,16.0,16.0
2001-09-04,16.0,16.0,16.0,16.0,6700329,1634,6,16.0,16.0
2001-09-05,16.0,16.0,16.0,16.0,10032700,2447,9,16.0,16.0
2001-09-08,16.0,16.0,16.0,16.0,1881900,459,4,16.0,16.0
2001-09-09,16.0,16.0,16.0,16.0,1529931,373,3,16.0,16.0
2001-09-10,16.0,16.0,16.0,16.0,1411088,344,4,16.0,16.0
2001-09-11,16.0,16.0,16.0,16.0,1099336,268,3,16.0,16.0
2001-09-12,16.0,16.0,16.0,16.0,389690,95,2,16.0,16.0
2001-09-16,16.0,16.0,16.0,16.0,21881289,5228,5,16.0,16.0
2001-09-17,16.0,16.0,16.0,16.0,15187693,3666,9,16.0,16.0
2001-09-19,16.0,16.0,16.0,16.0,12556620,3000,3,16.0,16.0
2001-09-22,16.0,17.0,16.0,17.0,29421800,6878,4,16.0,17.0
2001-09-23,17.0,17.0,17.0,17.0,756800,172,1,17.0,17.0
2001-09-24,17.0,17.0,17.0,17.0,2066355,470,3,17.0,17.0
2001-10-03,16.0,16.0,16.0,16.0,8360000,2000,2,17.0,16.0
2001-10-07,16.0,16.0,16.0,16.0,12507000,3000,1,16.0,16.0
2001-10-10,16.0,16.0,16.0,16.0,528900000,129000,1,16.0,16.0
2001-10-20,15.0,15.0,15.0,15.0,18268230,4683,14,16.0,15.0
2001-10-21,15.0,15.0,15.0,15.0,3692089,946,4,15.0,15.0
2001-10-22,15.0,15.0,15.0,15.0,15309274,3838,17,15.0,15.0
2001-10-23,15.0,15.0,15.0,15.0,621180,153,1,15.0,15.0
2001-10-24,16.0,16.0,16.0,16.0,3002664,732,2,15.0,16.0
2001-10-27,16.0,16.0,16.0,16.0,472765,115,1,16.0,16.0
2001-10-28,16.0,16.0,16.0,16.0,156256,38,1,16.0,16.0
2001-10-29,16.0,16.0,16.0,16.0,942793,229,4,16.0,16.0
2001-10-30,16.0,16.0,16.0,16.0,2828913,687,4,16.0,16.0
2001-10-31,16.0,16.0,16.0,16.0,7363185,1773,4,16.0,16.0
2001-11-03,16.0,16.0,16.0,16.0,5932082,1424,4,16.0,16.0
2001-11-04,16.0,16.0,16.0,16.0,3184352,764,1,16.0,16.0
2001-11-05,16.0,16.0,16.0,16.0,2077656,498,1,16.0,16.0
2001-11-06,16.0,16.0,16.0,16.0,2962068,708,3,16.0,16.0
2001-11-07,16.0,16.0,16.0,16.0,4481898,1069,3,16.0,16.0
2001-11-10,16.0,16.0,16.0,16.0,7870177,1865,4,16.0,16.0
2001-11-11,16.0,16.0,16.0,16.0,8809196,2066,3,16.0,16.0
2001-11-12,16.0,16.0,16.0,16.0,2497588101,594513,8,16.0,16.0
2001-11-13,16.0,16.0,16.0,16.0,22475380,5227,5,16.0,16.0
2001-11-14,16.0,16.0,16.0,16.0,189806019,44134,21,16.0,16.0
2001-11-17,16.0,16.0,16.0,16.0,1075000,250,1,16.0,16.0
2001-11-19,16.0,16.0,16.0,16.0,8006966,1866,6,16.0,16.0
2001-11-20,16.0,16.0,16.0,16.0,3303300,770,1,16.0,16.0
2001-11-25,16.0,16.0,16.0,16.0,12495300,3000,3,16.0,16.0
2001-11-26,16.0,16.0,16.0,16.0,4362372,1048,4,16.0,16.0
2001-11-27,16.0,16.0,16.0,16.0,10892431,2618,6,16.0,16.0
