date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-07-16,356.0,400.0,356.0,382.0,1769338790,400000,123,356.0,382.0
2003-07-19,391.0,391.0,391.0,391.0,36000000,8000,5,382.0,391.0
2003-07-20,395.0,396.0,395.0,396.0,44381480,9760,5,391.0,396.0
2003-07-21,401.0,403.0,401.0,403.0,67199400,14540,9,396.0,403.0
2003-07-22,409.0,409.0,398.0,398.0,134649197,28742,39,403.0,398.0
2003-07-23,381.0,381.0,379.0,379.0,22007620,5029,4,398.0,379.0
2003-07-26,378.0,378.0,377.0,377.0,27948450,6440,7,379.0,377.0
2003-07-27,373.0,373.0,367.0,367.0,93289500,21960,16,377.0,367.0
2003-07-28,360.0,360.0,358.0,358.0,12410244,2996,2,367.0,358.0
2003-07-29,340.0,356.0,340.0,350.0,134190266,33334,17,358.0,350.0
2003-07-30,357.0,360.0,357.0,357.0,61742220,15000,10,350.0,357.0
2003-08-03,357.0,357.0,357.0,357.0,31593035,7685,7,357.0,357.0
2003-08-04,348.0,365.0,348.0,365.0,32690399,7928,15,357.0,365.0
2003-08-05,365.0,365.0,365.0,365.0,4618900,1100,10,365.0,365.0
2003-08-09,365.0,365.0,365.0,365.0,7675772,1828,9,365.0,365.0
2003-08-10,365.0,365.0,365.0,365.0,4836096,1152,11,365.0,365.0
2003-08-11,365.0,365.0,364.0,364.0,6594856,1572,11,365.0,364.0
2003-08-12,364.0,364.0,364.0,364.0,13718922,3276,17,364.0,364.0
2003-08-13,363.0,363.0,363.0,363.0,5225000,1250,2,364.0,363.0
2003-08-16,361.0,361.0,361.0,361.0,8318000,2000,1,363.0,361.0
2003-08-17,360.0,360.0,358.0,358.0,24138820,5844,4,361.0,358.0
2003-08-18,347.0,355.0,347.0,348.0,8589145,2145,3,358.0,348.0
2003-08-19,347.0,348.0,330.0,348.0,25595770,6500,7,348.0,348.0
2003-08-20,330.0,348.0,330.0,348.0,36141592,9500,4,348.0,348.0
2003-08-23,348.0,348.0,348.0,348.0,400000,100,1,348.0,348.0
2003-08-24,347.0,348.0,347.0,348.0,15706650,3927,5,348.0,348.0
2003-08-25,347.0,348.0,347.0,348.0,13535500,3385,4,348.0,348.0
2003-08-31,347.0,348.0,347.0,348.0,8370000,2093,4,348.0,348.0
2003-09-02,347.0,348.0,347.0,348.0,39996976,10000,4,348.0,348.0
2003-09-03,348.0,348.0,348.0,348.0,7980000,1995,1,348.0,348.0
2003-09-06,348.0,348.0,348.0,348.0,8000000,2000,1,348.0,348.0
2003-09-07,348.0,348.0,348.0,348.0,8000000,2000,1,348.0,348.0
2003-09-08,348.0,348.0,348.0,348.0,19840000,4960,2,348.0,348.0
2003-09-09,347.0,348.0,347.0,347.0,14408396,3604,4,348.0,347.0
2003-09-13,348.0,348.0,348.0,348.0,23780000,5945,2,347.0,348.0
2003-09-14,339.0,348.0,339.0,347.0,16489033,4177,3,348.0,347.0
2003-09-16,347.0,348.0,347.0,347.0,55554478,13890,6,347.0,347.0
2003-09-17,348.0,348.0,347.0,347.0,4039990,1010,3,347.0,347.0
2003-09-20,347.0,347.0,347.0,347.0,19995000,5000,1,347.0,347.0
2003-09-21,347.0,347.0,347.0,347.0,19995000,5000,1,347.0,347.0
2003-09-23,347.0,347.0,347.0,347.0,39950000,10000,1,347.0,347.0
2003-09-27,347.0,347.0,347.0,347.0,191607910,48010,7,347.0,347.0
2003-09-28,347.0,347.0,346.0,347.0,227493900,57010,11,347.0,347.0
2003-09-29,346.0,346.0,346.0,346.0,182284000,45800,7,347.0,346.0
2003-09-30,346.0,346.0,345.0,345.0,251662540,63350,14,346.0,345.0
2003-10-01,345.0,345.0,344.0,345.0,233443709,58861,14,345.0,345.0
2003-10-04,345.0,345.0,344.0,344.0,257347230,64982,17,345.0,344.0
2003-10-06,344.0,344.0,344.0,344.0,4002600,1010,2,344.0,344.0
2003-10-13,344.0,344.0,344.0,344.0,39540000,10000,1,344.0,344.0
2003-10-18,339.0,342.0,339.0,342.0,3938420,1010,2,344.0,342.0
2003-10-21,328.0,342.0,328.0,342.0,443733,117,2,342.0,342.0
2003-10-25,325.0,328.0,325.0,327.0,109590882,29116,11,342.0,327.0
2003-10-26,311.0,311.0,311.0,311.0,23927475,6693,3,327.0,311.0
2003-10-27,311.0,326.0,311.0,323.0,22378476,6010,3,311.0,323.0
2003-10-28,340.0,340.0,340.0,340.0,575592432,147248,31,323.0,340.0
2003-10-29,347.0,347.0,341.0,341.0,3015495,755,2,340.0,341.0
2003-11-01,341.0,341.0,341.0,341.0,62125862,15840,5,341.0,341.0
2003-11-04,340.0,341.0,340.0,341.0,3954200,1010,2,341.0,341.0
2003-11-08,339.0,340.0,339.0,340.0,3938150,1010,2,341.0,340.0
2003-11-09,339.0,340.0,339.0,340.0,4359202,1118,2,340.0,340.0
2003-11-10,339.0,340.0,339.0,339.0,9953700,2550,3,340.0,339.0
2003-11-11,340.0,340.0,340.0,340.0,7479500,1910,3,339.0,340.0
2003-11-15,340.0,340.0,340.0,340.0,13861610,3540,3,340.0,340.0
2003-11-19,340.0,340.0,340.0,340.0,4070550,1040,2,340.0,340.0
2003-11-23,340.0,340.0,340.0,340.0,3949120,1010,2,340.0,340.0
2003-11-25,340.0,340.0,340.0,340.0,9955524,2542,4,340.0,340.0
2003-12-16,287.0,287.0,287.0,287.0,13204000,4000,2,340.0,287.0
2003-12-21,287.0,287.0,287.0,287.0,3300000,1000,1,287.0,287.0
2003-12-30,272.0,272.0,272.0,272.0,16574745,5287,3,287.0,272.0
2003-12-31,272.0,272.0,272.0,272.0,3135000,1000,1,272.0,272.0
2004-01-06,272.0,272.0,272.0,272.0,231973,74,3,272.0,272.0
2004-01-24,272.0,272.0,272.0,272.0,970030,310,2,272.0,272.0
2004-01-26,272.0,272.0,272.0,272.0,969720,310,2,272.0,272.0
2004-01-28,272.0,272.0,272.0,272.0,1281710,410,2,272.0,272.0
2004-02-04,271.0,272.0,271.0,272.0,2587220,830,2,272.0,272.0
2004-02-08,271.0,272.0,271.0,272.0,965470,310,2,272.0,272.0
2004-02-17,261.0,268.0,261.0,268.0,5134210,1710,2,272.0,268.0
2004-02-21,260.0,261.0,260.0,261.0,41758549,13924,9,268.0,261.0
2004-02-22,261.0,261.0,261.0,261.0,15029490,5010,3,261.0,261.0
2004-02-25,261.0,261.0,261.0,261.0,1982339,661,1,261.0,261.0
2004-03-03,261.0,261.0,261.0,261.0,19975651,6660,3,261.0,261.0
2004-03-06,261.0,261.0,261.0,261.0,31667710,10549,4,261.0,261.0
2004-03-09,261.0,261.0,261.0,261.0,870290,290,1,261.0,261.0
2004-04-03,261.0,261.0,261.0,261.0,14721000,4907,1,261.0,261.0
2004-04-13,260.0,262.0,260.0,261.0,35144728,11693,6,261.0,261.0
2004-04-21,261.0,261.0,261.0,261.0,991650,330,1,261.0,261.0
2004-04-24,261.0,261.0,261.0,261.0,19532500,6500,1,261.0,261.0
2004-04-25,261.0,261.0,261.0,261.0,12049540,4010,3,261.0,261.0
2004-04-26,261.0,261.0,261.0,261.0,16566153,5515,5,261.0,261.0
2004-04-27,261.0,261.0,261.0,261.0,12046030,4010,2,261.0,261.0
2004-04-28,261.0,261.0,261.0,261.0,10388275,3457,2,261.0,261.0
2004-05-01,261.0,261.0,261.0,261.0,12058050,4010,2,261.0,261.0
2004-05-02,274.0,274.0,274.0,274.0,20507500,6500,1,261.0,274.0
2004-05-03,274.0,288.0,274.0,282.0,21194840,6520,4,274.0,282.0
2004-05-04,282.0,282.0,282.0,282.0,8222500,2530,1,282.0,282.0
2004-05-05,282.0,282.0,282.0,282.0,3315000,1020,1,282.0,282.0
2004-05-30,282.0,282.0,282.0,282.0,27943500,8598,3,282.0,282.0
2004-06-02,282.0,282.0,282.0,282.0,1488500,458,1,282.0,282.0
2004-06-06,282.0,282.0,282.0,282.0,24121500,7422,1,282.0,282.0
2004-06-07,285.0,285.0,283.0,283.0,8488460,2588,2,282.0,283.0
2004-06-08,287.0,287.0,286.0,286.0,16532920,5010,2,283.0,286.0
2004-06-09,288.0,288.0,287.0,287.0,16583060,5010,2,286.0,287.0
2004-06-12,290.0,290.0,290.0,290.0,19538980,5850,3,287.0,290.0
2004-06-13,304.0,304.0,304.0,304.0,24528000,7000,1,290.0,304.0
2004-06-14,304.0,320.0,304.0,313.0,51259070,14210,4,304.0,313.0
2004-06-15,329.0,329.0,329.0,329.0,211753892,55916,13,313.0,329.0
2004-06-16,329.0,329.0,329.0,329.0,109196784,28832,4,329.0,329.0
2004-06-19,345.0,345.0,330.0,332.0,12205525,3159,4,329.0,332.0
2004-06-20,332.0,345.0,332.0,333.0,44209825,11530,5,332.0,333.0
2004-06-21,330.0,333.0,330.0,333.0,2021910,532,2,333.0,333.0
2004-06-26,326.0,332.0,326.0,332.0,4004602,1068,2,333.0,332.0
2004-06-27,325.0,328.0,325.0,328.0,11272810,3010,2,332.0,328.0
2004-06-28,325.0,328.0,325.0,328.0,225000,60,2,328.0,328.0
2004-06-29,325.0,325.0,325.0,325.0,37476721,10010,5,328.0,325.0
2004-07-03,324.0,325.0,324.0,325.0,138184,37,2,325.0,325.0
2004-07-04,323.0,325.0,323.0,325.0,1895390,510,2,325.0,325.0
2004-07-06,322.0,325.0,322.0,325.0,2020605,545,2,325.0,325.0
2004-07-07,308.0,308.0,308.0,308.0,42600000,12000,3,325.0,308.0
2004-07-11,304.0,304.0,304.0,304.0,52500000,15000,7,308.0,304.0
2004-07-12,304.0,304.0,304.0,304.0,85679590,24489,10,304.0,304.0
2004-07-14,293.0,293.0,293.0,293.0,32799052,9724,5,304.0,293.0
2004-07-17,293.0,293.0,293.0,293.0,19482448,5776,3,293.0,293.0
2004-07-18,293.0,293.0,293.0,293.0,8445992,2504,2,293.0,293.0
2004-07-20,304.0,304.0,293.0,297.0,42818238,12506,3,293.0,297.0
2004-07-24,299.0,299.0,299.0,299.0,34400000,10000,1,297.0,299.0
2004-07-25,299.0,301.0,299.0,300.0,27415930,7929,3,299.0,300.0
2004-07-26,304.0,304.0,302.0,302.0,10538368,3010,3,300.0,302.0
2004-07-27,305.0,305.0,305.0,305.0,22815000,6500,1,302.0,305.0
2004-07-28,306.0,306.0,306.0,306.0,25344000,7200,1,305.0,306.0
