date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-25,363.0,363.0,359.0,359.0,33200490,7175,12,0.0,359.0
2001-03-26,363.0,363.0,363.0,363.0,23901650,5141,8,359.0,363.0
2001-03-27,360.0,360.0,360.0,360.0,30122475,6530,9,363.0,360.0
2001-03-28,363.0,363.0,363.0,363.0,55065300,11842,16,360.0,363.0
2001-03-31,363.0,363.0,363.0,363.0,61040550,13127,13,363.0,363.0
2001-04-03,363.0,363.0,359.0,359.0,20012578,4327,15,363.0,359.0
2001-04-07,359.0,359.0,359.0,359.0,10501875,2284,10,359.0,359.0
2001-04-08,359.0,363.0,359.0,363.0,78084518,16849,24,359.0,363.0
2001-04-09,363.0,367.0,362.0,367.0,132831270,28478,52,363.0,367.0
2001-04-10,367.0,367.0,367.0,367.0,55477563,11806,37,367.0,367.0
2001-04-11,367.0,367.0,366.0,366.0,91276812,19457,34,367.0,366.0
2001-04-14,366.0,367.0,366.0,367.0,96689679,20597,43,366.0,367.0
2001-04-15,367.0,367.0,359.0,359.0,86303424,18676,42,367.0,359.0
2001-04-16,359.0,359.0,348.0,351.0,93893994,20768,44,359.0,351.0
2001-04-17,351.0,355.0,351.0,355.0,112075486,24804,51,351.0,355.0
2001-04-18,355.0,355.0,350.0,351.0,74371861,16493,46,355.0,351.0
2001-04-21,355.0,355.0,351.0,355.0,120828505,26592,57,351.0,355.0
2001-04-22,355.0,355.0,354.0,355.0,34781184,7653,24,355.0,355.0
2001-04-23,355.0,355.0,354.0,354.0,39703655,8742,30,355.0,354.0
2001-04-24,354.0,354.0,352.0,352.0,37710478,8338,23,354.0,352.0
2001-04-25,351.0,351.0,347.0,350.0,44950707,10038,30,352.0,350.0
2001-04-28,349.0,349.0,347.0,349.0,140240014,31423,50,350.0,349.0
2001-04-29,349.0,349.0,345.0,345.0,68073665,15282,30,349.0,345.0
2001-04-30,345.0,345.0,342.0,342.0,54328219,12351,23,345.0,342.0
2001-05-01,337.0,337.0,335.0,335.0,123752956,28754,40,342.0,335.0
2001-05-02,335.0,335.0,330.0,332.0,142047599,33388,49,335.0,332.0
2001-05-05,332.0,336.0,332.0,332.0,100053822,23388,35,332.0,332.0
2001-05-06,332.0,342.0,332.0,342.0,91411645,21094,33,332.0,342.0
