date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-28,28.0,28.0,28.0,28.0,40975286,2103,5,28.0,28.0
2001-04-07,28.0,28.0,28.0,28.0,14423340,740,1,28.0,28.0
2001-04-08,28.0,28.0,28.0,28.0,89671500,4600,9,28.0,28.0
2001-04-10,28.0,28.0,28.0,28.0,40981200,2100,4,28.0,28.0
2001-04-11,28.0,28.0,28.0,28.0,203377500,10300,5,28.0,28.0
2001-04-15,28.0,28.0,28.0,28.0,28942529,1463,3,28.0,28.0
2001-04-16,28.0,28.0,28.0,28.0,51441400,2600,2,28.0,28.0
2001-04-17,28.0,28.0,28.0,28.0,7915600,400,1,28.0,28.0
2001-04-22,28.0,28.0,28.0,28.0,6947850,350,1,28.0,28.0
2001-04-23,29.0,29.0,29.0,29.0,16029400,800,4,28.0,29.0
2001-05-01,29.0,29.0,29.0,29.0,20249000,1000,1,29.0,29.0
2001-05-13,29.0,29.0,29.0,29.0,19285293,943,3,29.0,29.0
2001-05-30,30.0,30.0,30.0,30.0,22720500,1100,6,29.0,30.0
2001-07-04,31.0,31.0,31.0,31.0,60698000,2800,3,30.0,31.0
2001-07-07,33.0,33.0,33.0,33.0,603394506,26538,23,31.0,33.0
2001-07-08,34.0,34.0,34.0,34.0,102940376,4312,9,33.0,34.0
2001-08-12,33.0,37.0,33.0,37.0,177778960,7288,16,34.0,37.0
2001-08-13,37.0,37.0,37.0,37.0,160173200,6200,3,37.0,37.0
2001-08-14,38.0,38.0,38.0,38.0,1184118000,44200,15,37.0,38.0
2001-08-15,39.0,39.0,38.0,39.0,319508650,11815,8,38.0,39.0
2001-08-19,40.0,40.0,40.0,40.0,38826200,1400,5,39.0,40.0
2001-08-20,40.0,40.0,40.0,40.0,84030000,3000,3,40.0,40.0
2001-08-27,40.0,40.0,40.0,40.0,25770400,920,7,40.0,40.0
2001-08-28,41.0,41.0,40.0,41.0,56528100,2010,6,40.0,41.0
2001-08-29,41.0,41.0,41.0,41.0,106170170,3753,13,41.0,41.0
2001-09-01,41.0,41.0,41.0,41.0,56579400,2000,6,41.0,41.0
2001-09-02,41.0,41.0,41.0,41.0,229120710,8099,5,41.0,41.0
2001-09-03,40.0,41.0,40.0,41.0,116917500,4140,9,41.0,41.0
2001-09-04,41.0,41.0,41.0,41.0,18557250,650,3,41.0,41.0
2001-09-05,41.0,41.0,41.0,41.0,69682115,2435,4,41.0,41.0
2001-09-08,42.0,42.0,42.0,42.0,760637518,26119,5,41.0,42.0
2001-09-10,42.0,42.0,42.0,42.0,611790400,20800,6,42.0,42.0
2001-09-11,43.0,43.0,42.0,43.0,344429000,11600,3,42.0,43.0
2001-09-12,43.0,43.0,43.0,43.0,753758848,25140,14,43.0,43.0
2001-09-15,43.0,43.0,43.0,43.0,9001200,300,2,43.0,43.0
2001-09-18,43.0,43.0,43.0,43.0,286378030,9545,12,43.0,43.0
2001-09-19,43.0,43.0,43.0,43.0,242262500,8015,6,43.0,43.0
2001-09-22,43.0,43.0,43.0,43.0,30302000,1000,1,43.0,43.0
2001-09-24,43.0,43.0,43.0,43.0,151517263,5000,4,43.0,43.0
2001-09-26,43.0,43.0,43.0,43.0,81573536,2692,11,43.0,43.0
2001-09-29,43.0,43.0,43.0,43.0,53508034,1766,5,43.0,43.0
2001-10-03,43.0,43.0,43.0,43.0,28712250,950,4,43.0,43.0
2001-10-06,43.0,43.0,43.0,43.0,3979650,132,2,43.0,43.0
2001-10-07,43.0,43.0,43.0,43.0,124257797,4143,6,43.0,43.0
2001-10-16,43.0,43.0,43.0,43.0,89079000,3000,8,43.0,43.0
2001-10-17,42.0,42.0,42.0,42.0,24017349,817,2,43.0,42.0
2001-10-20,42.0,42.0,42.0,42.0,29104000,1000,1,42.0,42.0
2001-10-21,41.0,42.0,41.0,42.0,419359433,14483,31,42.0,42.0
2001-10-22,42.0,42.0,42.0,42.0,84435105,2901,9,42.0,42.0
2001-10-23,42.0,42.0,42.0,42.0,154234800,5300,6,42.0,42.0
2001-10-24,42.0,42.0,42.0,42.0,48023250,1650,4,42.0,42.0
2001-10-27,42.0,42.0,42.0,42.0,23289600,800,2,42.0,42.0
2001-10-28,42.0,42.0,42.0,42.0,37847700,1300,4,42.0,42.0
2001-10-29,42.0,42.0,42.0,42.0,90983000,3125,7,42.0,42.0
2001-10-30,42.0,42.0,42.0,42.0,52405200,1800,3,42.0,42.0
