date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-28,289.0,289.0,289.0,289.0,3806000,1000,2,0.0,289.0
2001-04-07,300.0,303.0,300.0,303.0,8620750,2170,5,289.0,303.0
2001-04-08,303.0,303.0,303.0,303.0,1600000,400,1,303.0,303.0
2001-04-10,305.0,318.0,305.0,318.0,10473400,2540,5,303.0,318.0
2001-04-15,320.0,320.0,320.0,320.0,11410280,2705,4,318.0,320.0
2001-04-16,326.0,331.0,326.0,331.0,18500170,4270,4,320.0,331.0
2001-04-17,332.0,332.0,331.0,332.0,19835130,4530,4,331.0,332.0
2001-04-22,333.0,333.0,333.0,333.0,1052640,240,1,332.0,333.0
2001-04-24,318.0,318.0,318.0,318.0,12600000,3000,3,333.0,318.0
2001-04-25,197.0,318.0,197.0,318.0,244331200,93912,260,318.0,318.0
2001-04-29,326.0,326.0,326.0,326.0,20210000,4700,5,318.0,326.0
2001-04-30,326.0,326.0,326.0,326.0,36899300,8581,9,326.0,326.0
2001-05-01,318.0,318.0,318.0,318.0,15594600,3713,3,326.0,318.0
2001-05-02,319.0,319.0,319.0,319.0,4203000,1000,1,318.0,319.0
2001-05-05,318.0,319.0,318.0,318.0,19301300,4595,4,319.0,318.0
2001-05-06,322.0,323.0,322.0,323.0,42589000,10000,8,318.0,323.0
2001-05-07,323.0,323.0,323.0,323.0,10223000,2400,3,323.0,323.0
2001-05-08,323.0,323.0,323.0,323.0,53977252,12671,11,323.0,323.0
2001-05-09,323.0,323.0,323.0,323.0,8903400,2090,4,323.0,323.0
2001-05-12,337.0,339.0,337.0,339.0,14769845,3315,5,323.0,339.0
2001-05-13,353.0,356.0,353.0,356.0,42869680,9218,9,339.0,356.0
2001-05-15,374.0,374.0,374.0,374.0,200902430,40751,26,356.0,374.0
2001-05-16,379.0,379.0,374.0,379.0,69934716,14126,19,374.0,379.0
2001-05-19,379.0,387.0,379.0,379.0,72952400,14400,22,379.0,379.0
2001-05-20,379.0,379.0,372.0,372.0,60155000,12100,25,379.0,372.0
2001-05-21,372.0,375.0,372.0,375.0,34784450,7050,12,372.0,375.0
2001-05-23,379.0,379.0,379.0,379.0,35300000,7060,12,375.0,379.0
2001-05-27,379.0,379.0,379.0,379.0,10000000,2000,2,379.0,379.0
2001-05-28,379.0,379.0,379.0,379.0,32203499,6441,6,379.0,379.0
2001-05-29,379.0,379.0,372.0,379.0,50616500,10224,10,379.0,379.0
2001-05-30,379.0,379.0,379.0,379.0,25000000,5000,5,379.0,379.0
2001-06-02,379.0,379.0,379.0,379.0,35410000,7082,8,379.0,379.0
2001-06-06,378.0,378.0,378.0,378.0,32185500,6450,7,379.0,378.0
2001-06-09,372.0,378.0,372.0,372.0,28412050,5780,8,378.0,372.0
2001-06-11,372.0,372.0,372.0,372.0,4900000,1000,1,372.0,372.0
2001-06-12,370.0,370.0,370.0,370.0,4880000,1000,1,372.0,370.0
2001-06-13,364.0,364.0,364.0,364.0,9600000,2000,2,370.0,364.0
2001-06-16,364.0,364.0,364.0,364.0,33600000,7000,10,364.0,364.0
2001-06-19,370.0,370.0,370.0,370.0,29445320,6040,14,364.0,370.0
2001-06-20,365.0,378.0,365.0,365.0,78089481,16151,10,370.0,365.0
2001-06-23,365.0,365.0,365.0,365.0,4811000,1000,2,365.0,365.0
2001-06-24,365.0,365.0,365.0,365.0,4046051,841,2,365.0,365.0
2001-06-26,365.0,365.0,365.0,365.0,24564966,5106,8,365.0,365.0
2001-06-27,379.0,379.0,379.0,379.0,34446110,6890,12,365.0,379.0
2001-06-30,379.0,379.0,379.0,379.0,65586910,13118,13,379.0,379.0
2001-07-01,379.0,381.0,379.0,379.0,243076086,48500,31,379.0,379.0
2001-07-02,379.0,380.0,379.0,380.0,1115615,223,2,379.0,380.0
2001-07-03,380.0,381.0,380.0,381.0,19975100,3980,3,380.0,381.0
2001-07-04,387.0,398.0,387.0,398.0,28696000,5510,7,381.0,398.0
2001-07-07,398.0,398.0,398.0,398.0,15025500,2862,6,398.0,398.0
2001-07-08,398.0,399.0,398.0,399.0,225733325,42956,2,398.0,399.0
2001-07-09,399.0,399.0,399.0,399.0,9301350,1770,2,399.0,399.0
2001-07-11,399.0,402.0,399.0,402.0,25364000,4800,10,399.0,402.0
2001-08-07,402.0,402.0,394.0,402.0,113553100,21548,18,402.0,402.0
2001-08-08,422.0,422.0,422.0,422.0,57485250,10330,14,402.0,422.0
2001-08-11,422.0,422.0,422.0,422.0,333900,60,1,422.0,422.0
2001-08-12,425.0,425.0,422.0,422.0,19549100,3500,5,422.0,422.0
2001-08-13,422.0,422.0,421.0,422.0,48091600,8650,6,422.0,422.0
2001-08-14,422.0,422.0,422.0,422.0,60492800,10880,8,422.0,422.0
2001-08-15,422.0,422.0,421.0,422.0,53124890,9555,10,422.0,422.0
2001-08-18,422.0,422.0,422.0,422.0,6065960,1091,2,422.0,422.0
2001-08-19,422.0,422.0,422.0,422.0,53464754,9616,10,422.0,422.0
2001-08-20,422.0,422.0,421.0,421.0,23556280,4238,5,422.0,421.0
2001-08-22,402.0,421.0,402.0,421.0,204939531,38331,17,421.0,421.0
2001-09-01,420.0,420.0,420.0,420.0,4296765,775,3,421.0,420.0
