date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-05-13,59.0,59.0,59.0,59.0,600000,400,1,0.0,59.0
2001-06-03,59.0,59.0,59.0,59.0,600000,400,1,59.0,59.0
2001-07-15,58.0,59.0,58.0,59.0,368000,250,5,59.0,59.0
2002-01-14,99.0,99.0,99.0,99.0,2500000,1000,1,59.0,99.0
2002-06-15,104.0,104.0,104.0,104.0,3675000,1400,1,99.0,104.0
2002-08-05,149.0,168.0,129.0,167.0,3838300000,1000000,332,104.0,167.0
2002-08-06,176.0,176.0,176.0,176.0,4434000000,1000000,282,167.0,176.0
2002-08-07,180.0,180.0,180.0,180.0,6816000000,1500000,412,176.0,180.0
2002-08-10,184.0,184.0,184.0,184.0,2794200000,600000,189,180.0,184.0
2002-08-11,189.0,189.0,186.0,189.0,2532429350,530865,308,184.0,189.0
2002-08-13,189.0,189.0,184.0,184.0,472616960,101305,56,189.0,184.0
2002-08-14,180.0,182.0,180.0,180.0,120000220,26380,27,184.0,180.0
2002-08-17,175.0,175.0,175.0,175.0,28417350,6422,8,180.0,175.0
2002-08-18,171.0,171.0,171.0,171.0,29018375,6725,2,175.0,171.0
2002-08-19,172.0,174.0,162.0,170.0,1332977792,312046,122,171.0,170.0
2002-08-20,169.0,170.0,166.0,170.0,604082631,141382,49,170.0,170.0
2002-08-21,169.0,173.0,169.0,171.0,3083393840,715697,128,170.0,171.0
2002-08-27,171.0,171.0,171.0,171.0,171638500,39750,15,171.0,171.0
2002-08-28,171.0,174.0,171.0,171.0,330747778,75940,36,171.0,171.0
2002-08-31,174.0,174.0,171.0,174.0,273195963,62213,21,171.0,174.0
2002-09-01,174.0,180.0,110.0,180.0,16388382800,5884094,3160,174.0,180.0
2002-09-02,180.0,186.0,175.0,175.0,7884450778,1778552,88,180.0,175.0
2002-09-03,176.0,181.0,175.0,176.0,903234807,199762,75,175.0,176.0
2002-09-04,175.0,182.0,175.0,175.0,8241954040,1863429,150,176.0,175.0
