date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-25,82.0,82.0,82.0,82.0,3036275,671,5,82.0,82.0
2001-04-03,86.0,86.0,86.0,86.0,20058200,4240,13,82.0,86.0
2001-04-07,87.0,87.0,87.0,87.0,23750512,4948,11,86.0,87.0
2001-04-08,88.0,88.0,88.0,88.0,44999838,9300,16,87.0,88.0
2001-04-09,88.0,90.0,88.0,90.0,62240700,12700,18,88.0,90.0
2001-04-10,88.0,88.0,88.0,88.0,4813000,1000,1,90.0,88.0
2001-04-11,88.0,88.0,86.0,86.0,76686858,16290,12,88.0,86.0
2001-04-14,86.0,86.0,85.0,86.0,13534350,2896,6,86.0,86.0
2001-04-15,86.0,86.0,86.0,86.0,6073707,1292,4,86.0,86.0
2001-04-16,86.0,86.0,86.0,86.0,16267429,3460,5,86.0,86.0
2001-04-17,86.0,86.0,86.0,86.0,12837889,2729,7,86.0,86.0
2001-04-18,86.0,86.0,86.0,86.0,38597660,8167,18,86.0,86.0
2001-04-21,86.0,86.0,86.0,86.0,14275584,3037,7,86.0,86.0
2001-04-22,86.0,87.0,86.0,86.0,105235316,22320,21,86.0,86.0
2001-04-23,86.0,86.0,86.0,86.0,41062450,8735,20,86.0,86.0
2001-04-24,86.0,86.0,86.0,86.0,25410008,5404,15,86.0,86.0
2001-04-25,86.0,87.0,86.0,87.0,59417662,12563,15,86.0,87.0
2001-04-28,87.0,89.0,87.0,87.0,173442747,35888,25,87.0,87.0
2001-04-29,87.0,87.0,87.0,87.0,78518259,16361,21,87.0,87.0
2001-04-30,87.0,88.0,87.0,88.0,25253480,5240,4,87.0,88.0
2001-05-01,88.0,90.0,88.0,90.0,78057977,15876,26,88.0,90.0
2001-05-02,90.0,91.0,90.0,91.0,38131420,7664,16,90.0,91.0
2001-05-05,91.0,92.0,91.0,92.0,2696526,534,2,91.0,92.0
2001-05-06,93.0,93.0,93.0,93.0,30014228,5884,10,92.0,93.0
2001-05-07,94.0,96.0,93.0,94.0,24275189,4714,8,93.0,94.0
2001-05-08,94.0,94.0,94.0,94.0,3115972,602,3,94.0,94.0
2001-05-09,96.0,96.0,96.0,96.0,34722650,6555,9,94.0,96.0
2001-05-12,97.0,97.0,97.0,97.0,31607417,5955,4,96.0,97.0
2001-05-13,98.0,98.0,98.0,98.0,46004200,8519,18,97.0,98.0
2001-05-15,98.0,98.0,98.0,98.0,29445770,5450,5,98.0,98.0
2001-05-16,98.0,100.0,98.0,100.0,32802600,6024,12,98.0,100.0
2001-05-19,98.0,100.0,98.0,100.0,96722771,17838,12,100.0,100.0
2001-05-20,102.0,102.0,102.0,102.0,12734400,2274,6,100.0,102.0
2001-05-21,102.0,104.0,102.0,104.0,143048280,25103,17,102.0,104.0
2001-05-23,104.0,104.0,104.0,104.0,381759914,66977,39,104.0,104.0
2001-05-26,104.0,104.0,104.0,104.0,51584110,9050,7,104.0,104.0
2001-05-27,104.0,104.0,104.0,104.0,58637583,10287,9,104.0,104.0
2001-05-28,104.0,104.0,104.0,104.0,1221188808,214208,41,104.0,104.0
2001-05-29,104.0,104.0,104.0,104.0,6665992,1172,3,104.0,104.0
2001-05-30,103.0,103.0,102.0,102.0,46884024,8322,7,104.0,102.0
2001-06-02,100.0,100.0,100.0,100.0,4730860,860,1,102.0,100.0
2001-06-06,98.0,100.0,98.0,100.0,160537658,29510,35,100.0,100.0
2001-06-09,98.0,100.0,98.0,100.0,26548305,4904,7,100.0,100.0
2001-06-11,100.0,100.0,100.0,100.0,12994501,2363,7,100.0,100.0
2001-06-12,100.0,100.0,100.0,100.0,874341,159,2,100.0,100.0
2001-06-13,100.0,100.0,98.0,98.0,70966293,12987,13,100.0,98.0
2001-06-16,98.0,98.0,98.0,98.0,19807448,3666,6,98.0,98.0
2001-06-17,98.0,98.0,98.0,98.0,77600924,14364,17,98.0,98.0
2001-06-18,98.0,100.0,98.0,100.0,51220394,9463,16,98.0,100.0
2001-06-19,100.0,100.0,100.0,100.0,456085,83,1,100.0,100.0
2001-06-20,100.0,100.0,98.0,98.0,18900679,3444,10,100.0,98.0
2001-06-23,98.0,98.0,98.0,98.0,67843200,12563,13,98.0,98.0
2001-06-24,98.0,98.0,98.0,98.0,39085200,7238,9,98.0,98.0
2001-06-25,98.0,98.0,98.0,98.0,42292800,7832,10,98.0,98.0
2001-06-26,98.0,98.0,98.0,98.0,21258800,3937,7,98.0,98.0
2001-06-27,98.0,99.0,98.0,99.0,13957918,2580,11,98.0,99.0
2001-06-30,99.0,100.0,99.0,100.0,29714416,5417,13,99.0,100.0
2001-07-01,100.0,100.0,100.0,100.0,30788502,5597,9,100.0,100.0
2001-07-02,100.0,100.0,100.0,100.0,220985000,40230,10,100.0,100.0
2001-07-03,99.0,100.0,99.0,99.0,161196076,29500,11,100.0,99.0
2001-07-04,99.0,99.0,99.0,99.0,48831693,8957,16,99.0,99.0
2001-07-07,100.0,100.0,99.0,99.0,115615795,21082,30,99.0,99.0
2001-07-08,100.0,100.0,100.0,100.0,107766800,19594,23,99.0,100.0
2001-07-09,100.0,100.0,100.0,100.0,1663470,303,2,100.0,100.0
2001-07-10,99.0,100.0,97.0,97.0,37199529,6879,15,100.0,97.0
2001-07-11,97.0,98.0,97.0,98.0,184412114,34177,32,97.0,98.0
2001-07-14,98.0,98.0,98.0,98.0,35439785,6564,16,98.0,98.0
2001-07-15,98.0,98.0,98.0,98.0,25231200,4680,7,98.0,98.0
2001-08-12,82.0,86.0,82.0,86.0,10134268,2204,2,98.0,86.0
2001-08-13,86.0,87.0,86.0,87.0,35816330,7505,6,86.0,87.0
2001-08-14,87.0,88.0,87.0,88.0,67172492,13972,5,87.0,88.0
2001-08-15,88.0,89.0,88.0,88.0,207940030,42870,27,88.0,88.0
2001-08-18,88.0,89.0,88.0,89.0,8865560,1817,4,88.0,89.0
2001-08-19,89.0,89.0,89.0,89.0,4211830,859,3,89.0,89.0
2001-08-20,90.0,91.0,90.0,91.0,39640977,7934,4,89.0,91.0
2001-08-21,94.0,94.0,94.0,94.0,15599350,3029,5,91.0,94.0
2001-08-22,98.0,98.0,96.0,98.0,155683300,28855,21,94.0,98.0
2001-08-25,103.0,103.0,99.0,103.0,76228995,13483,13,98.0,103.0
2001-08-26,104.0,104.0,104.0,104.0,13957887,2447,3,103.0,104.0
2001-08-27,104.0,105.0,104.0,105.0,148688350,25931,17,104.0,105.0
2001-08-28,105.0,105.0,105.0,105.0,69867487,12083,13,105.0,105.0
2001-08-29,105.0,109.0,105.0,105.0,667630181,111894,33,105.0,105.0
2001-09-01,105.0,105.0,105.0,105.0,24987455,4323,5,105.0,105.0
2001-09-02,105.0,105.0,104.0,105.0,27673687,4805,5,105.0,105.0
2001-09-03,105.0,105.0,105.0,105.0,148244650,25650,10,105.0,105.0
2001-09-04,104.0,105.0,104.0,105.0,41861338,7318,8,105.0,105.0
2001-09-05,105.0,106.0,105.0,106.0,8257512,1426,3,105.0,106.0
2001-09-08,106.0,106.0,106.0,106.0,33730014,5801,4,106.0,106.0
2001-09-09,106.0,106.0,106.0,106.0,32237776,5540,6,106.0,106.0
2001-09-10,106.0,109.0,106.0,109.0,45756924,7762,9,106.0,109.0
2001-09-11,109.0,109.0,109.0,109.0,178924948,29908,26,109.0,109.0
2001-09-12,109.0,109.0,109.0,109.0,101804342,17000,9,109.0,109.0
2001-09-15,109.0,109.0,106.0,109.0,54944985,9295,9,109.0,109.0
2001-09-16,106.0,108.0,105.0,108.0,83475225,14205,11,109.0,108.0
2001-09-18,107.0,108.0,107.0,108.0,73146302,12313,11,108.0,108.0
2001-09-19,108.0,108.0,108.0,108.0,41650000,7000,5,108.0,108.0
2001-09-22,108.0,108.0,108.0,108.0,5797440,976,2,108.0,108.0
2001-09-23,108.0,108.0,108.0,108.0,2968500,500,2,108.0,108.0
2001-09-24,107.0,108.0,107.0,108.0,86919010,14704,20,108.0,108.0
2001-09-25,107.0,108.0,107.0,107.0,43481008,7338,7,108.0,107.0
2001-09-26,107.0,108.0,107.0,108.0,35793100,6054,12,107.0,108.0
2001-09-29,107.0,108.0,107.0,108.0,16554200,2797,6,108.0,108.0
2001-09-30,107.0,109.0,107.0,109.0,106197600,17954,17,108.0,109.0
2001-10-02,109.0,109.0,109.0,109.0,4776000,796,2,109.0,109.0
2001-10-03,109.0,109.0,109.0,109.0,40797362,6799,12,109.0,109.0
2001-10-06,109.0,109.0,109.0,109.0,19278000,3213,6,109.0,109.0
